Product Name,Actual Price,offer Price,No.of Ratings,reviews,Averager Rating,Brand,offer %
CHUWI Intel Celeron Quad Core 12th Gen N100,"₹34,990","₹17,990",517,92,4.1,CHUWI,48% off
Infinix GT Book Intel Core i5 12th Gen 12450H,"₹99,990","₹53,990",567,88,4.3,Infinix,46% off
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U,"₹64,990","₹42,990","3,138",343,4.4,MSI,33% off
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U,"₹61,990","₹37,300","2,158",166,4.2,Lenovo,39% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U,"₹61,990","₹39,990","3,138",343,4.4,MSI,35% off
ASUS Chromebook Intel Celeron Dual Core N4500,"₹32,990","₹16,990","2,441",222,3.8,ASUS,48% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Hexa Core 5625U,"₹59,090","₹39,990",4,1,4.8,Lenovo,32% off
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,"₹72,490","₹52,590",21,2,4.3,Lenovo,27% off
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U,"₹49,990","₹28,990",4,0,5,HP,42% off
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U,"₹52,990","₹31,490",43,7,4.2,Acer,40% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
HP Laptop AMD Ryzen 3 Quad Core 5300U,"₹44,783","₹31,549","2,161",185,4.2,HP,29% off
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,"₹70,090","₹48,990","2,160",106,4.2,Lenovo,30% off
Lenovo V15 AMD Ryzen 3 Quad Core 7320U,"₹44,567","₹27,490","2,009",176,4.2,Lenovo,38% off
CHUWI Intel Celeron Quad Core 12th Gen N100,"₹34,990","₹17,990",517,92,4.1,CHUWI,48% off
