product_name,actual_price,offer_price,no.of_ratings,reviews,averager_rating,brand,offer_%
Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U,128590,79990,45,3,4.3,Lenovo,37
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U,69999,44990,901,100,4.3,Acer,35
MSI Modern 14 H Intel Core i9 13th Gen 13900H,88990,74990,15,2,4.2,MSI,15
Lenovo Yoga 6 AMD Ryzen 7 Octa Core 7730U,121690,69990,94,6,4.1,Lenovo,42
ASUS Intel Celeron Dual Core N4500,37990,23999,4,0,3.8,ASUS,36
HP Pavilion AMD Ryzen 5 Dual Core 5500U,59899,47490,1732,173,4.5,HP,20
HP Chromebook Intel Celeron Quad Core N4120,32279,22999,2074,149,4.1,HP,28
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H,153190,87990,38,0,4.3,Lenovo,42
Lenovo LOQ Intel Core i5 12th Gen 12450HX,95890,71990,22,1,3.5,Lenovo,24
Infinix X3 Slim Intel Intel Core i3 12th Gen 1215U,54990,27990,1656,209,4.2,Infinix,49
Lenovo Yoga Slim 7 WUXGA OLED AI PC Intel Core Ultra 7 155H,146890,98990,20,2,4.3,Lenovo,32
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U,57790,39490,9,1,4.1,Lenovo,31
HP 15R (2025) Intel Core i3 13th Gen 1315U,74990,33490,0,0,0.0,HP,55
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U,52990,41990,1018,72,4.2,ASUS,20
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H,153190,87990,38,0,4.3,Lenovo,42
Lenovo Yoga Slim 7 WUXGA OLED AI PC Intel Core Ultra 7 155H,146890,98990,20,2,4.3,Lenovo,32
Acer Swift Go 14 Snapdragon X Plus,108799,59990,216,40,4.3,Acer,44
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X",84990,65990,41,4,4.0,ASUS,22
HP 15R (2025) Intel Core i3 13th Gen 1315U,74990,33490,0,0,0.0,HP,55
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U,57790,39490,9,1,4.1,Lenovo,31
DELL 15 Intel Core i3 12th Gen 1215U,44861,32990,639,45,4.2,DELL,26
